indic_ur,cities\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
TE1001I,DE010C1	485 e	480 e	402 e	483 	479 	482 e	480 e	476 e	436 e	436 e	424 e	409 e	378 e	347 e	325 e	371 e	: 	: 	: 	: 	: 	: 	: 	398 	: 	: 	: 	284 	: 	: 
TE1001I,DE011C1	548 e	537 e	442 e	522 	528 	506 e	495 e	486 e	445 e	442 e	418 e	388 e	369 e	358 e	351 e	399 e	: 	: 	400 	: 	: 	: 	: 	367 	: 	: 	: 	307 	: 	: 
TE1001I,DE012C1	487 e	489 e	425 e	482 	491 	502 e	488 e	474 e	443 e	419 e	405 e	396 e	385 e	376 e	360 e	408 e	: 	: 	454 	: 	: 	: 	: 	421 	: 	: 	: 	357 	: 	: 
TE1001I,DE013C1	522 e	521 e	477 e	514 	516 	519 e	482 e	444 e	409 e	394 e	384 e	369 e	369 e	338 e	324 e	415 e	: 	: 	422 	: 	: 	: 	: 	374 	: 	: 	: 	300 	: 	: 
TE1001I,DE014C1	479 e	481 e	458 e	493 	491 	474 e	452 e	433 e	425 e	407 e	386 e	372 e	365 e	363 e	353 e	392 e	: 	: 	445 	: 	: 	: 	: 	338 	: 	: 	: 	295 	: 	: 
TE1001I,DE015C1	490 e	486 e	405 e	481 	484 	479 e	468 e	456 e	449 e	439 e	432 e	420 e	393 e	379 e	354 e	430 e	: 	: 	376 	: 	: 	: 	: 	437 	: 	: 	: 	361 	: 	: 
TE1001I,DE017C1	502 e	501 e	447 e	499 	514 	503 e	470 e	462 e	438 e	426 e	399 e	383 e	326 e	314 e	290 e	347 e	: 	: 	389 	: 	: 	: 	: 	345 	: 	: 	: 	270 	: 	: 
TE1001I,DE018C1	605 e	617 e	626 e	633 	666 	656 e	664 e	682 e	641 e	631 e	643 e	635 e	626 e	599 e	587 e	714 e	: 	: 	644 	: 	: 	: 	: 	900 	: 	: 	: 	706 	: 	: 
TE1001I,DE019C1	661 e	640 e	605 e	668 	679 	657 e	661 e	675 e	639 e	649 e	637 e	652 e	648 e	633 e	644 e	719 e	: 	: 	586 	: 	: 	: 	: 	857 	: 	: 	: 	882 	: 	: 
TE1001I,DE020C1	512 e	516 e	493 e	524 	518 	513 e	488 e	490 e	465 e	457 e	427 e	407 e	396 e	390 e	387 e	435 e	: 	: 	457 	: 	: 	: 	: 	437 	: 	: 	: 	346 	: 	: 
TE1001I,DE021C1	: 	: 	: 	: 	: 	571 e	622 e	564 e	557 e	512 e	463 e	451 e	444 e	381 e	348 e	395 e	: 	: 	610 	: 	: 	: 	: 	540 	: 	: 	: 	418 	: 	: 
TE1001I,DE022C1	485 e	485 e	394 e	490 	485 	474 e	425 e	422 e	401 e	405 e	402 e	403 e	399 e	392 e	387 e	411 e	: 	: 	684 	: 	: 	: 	: 	385 	: 	: 	: 	323 	: 	: 
TE1001I,DE023C1	: 	: 	: 	: 	: 	407 e	385 e	409 e	344 e	379 e	368 e	361 e	356 e	346 e	334 e	407 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE025C1	558 e	541 e	481 e	537 	556 	542 e	519 e	492 e	452 e	440 e	434 e	423 e	423 e	363 e	347 e	412 e	: 	: 	404 	: 	: 	: 	: 	505 	: 	: 	: 	431 	: 	: 
TE1001I,DE026C1	561 e	544 e	482 e	501 	538 	555 e	536 e	536 e	518 e	520 e	501 e	503 e	474 e	453 e	425 e	474 e	: 	: 	536 	: 	: 	: 	: 	579 	: 	: 	: 	: 	: 	: 
TE1001I,DE027C1	606 e	593 e	549 e	584 	581 	594 e	566 e	550 e	522 e	504 e	507 e	477 e	480 e	478 e	472 e	477 e	: 	: 	716 	: 	: 	: 	: 	470 	: 	: 	: 	403 	: 	: 
TE1001I,DE028C1	497 e	493 e	492 e	516 	515 	534 e	502 e	489 e	457 e	463 e	440 e	434 e	431 e	416 e	421 e	441 e	: 	: 	474 	: 	: 	: 	: 	481 	: 	: 	: 	368 	: 	: 
TE1001I,DE029C1	725 e	731 e	697 e	736 	758 	763 e	695 e	723 e	698 e	703 e	655 e	659 e	686 e	640 e	583 e	667 e	: 	: 	688 	: 	: 	: 	: 	888 	: 	: 	: 	: 	: 	: 
TE1001I,DE030C1	690 e	672 e	636 e	676 	692 	686 e	679 e	676 e	625 e	606 e	625 e	606 e	627 e	619 e	585 e	633 e	: 	: 	645 	: 	: 	: 	: 	875 	: 	: 	: 	970 	: 	: 
TE1001I,DE031C1	638 e	647 e	592 e	637 	699 	709 e	690 e	702 e	667 e	690 e	695 e	673 e	649 e	678 e	676 e	702 e	: 	: 	739 	: 	: 	: 	: 	899 	: 	: 	: 	881 	: 	: 
TE1001I,DE032C1	623 e	622 e	586 e	642 	607 	602 e	620 e	598 e	568 e	567 e	537 e	525 e	552 e	543 e	543 e	580 e	: 	: 	607 	: 	: 	: 	: 	950 	: 	: 	: 	973 	: 	: 
TE1001I,DE033C1	435 e	440 e	418 e	456 	469 	460 e	450 e	451 e	423 e	405 e	397 e	393 e	378 e	357 e	333 e	378 e	: 	: 	580 	: 	: 	: 	: 	357 	: 	: 	: 	369 	: 	: 
TE1001I,DE034C1	528 e	533 e	463 e	525 	539 	528 e	493 e	489 e	467 e	443 e	436 e	413 e	394 e	382 e	368 e	402 e	: 	: 	455 	: 	: 	: 	: 	364 	: 	: 	: 	291 	: 	: 
TE1001I,DE035C1	550 e	549 e	505 e	541 	542 	528 e	525 e	502 e	493 e	475 e	454 e	438 e	425 e	397 e	378 e	427 e	: 	: 	447 	: 	: 	: 	: 	444 	: 	: 	: 	383 	: 	: 
TE1001I,DE036C1	387 e	399 e	386 e	427 	428 	430 e	433 e	426 e	386 e	377 e	367 e	355 e	333 e	334 e	317 e	380 e	: 	: 	421 	: 	: 	: 	: 	329 	: 	: 	: 	292 	: 	: 
TE1001I,DE037C1	517 e	502 e	482 e	510 	514 	500 e	489 e	480 e	453 e	436 e	416 e	422 e	402 e	399 e	400 e	448 e	: 	: 	486 	: 	: 	: 	: 	464 	: 	: 	: 	: 	: 	: 
TE1001I,DE039C1	527 e	525 e	479 e	533 	528 	545 e	521 e	504 e	483 e	443 e	424 e	411 e	391 e	385 e	373 e	408 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE040C1	: 	: 	466 e	: 	: 	: 	: 	: 	: 	: 	: 	414 e	410 e	389 e	386 e	382 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE041C1	671 e	680 e	639 e	702 	692 	695 e	693 e	722 e	658 e	648 e	641 e	624 e	626 e	618 e	629 e	653 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE042C1	483 e	470 e	483 e	504 	515 	499 e	490 e	481 e	450 e	454 e	433 e	412 e	424 e	394 e	381 e	430 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE043C1	722 e	713 e	645 e	710 	710 	: 	: 	738 e	691 e	682 e	680 e	670 e	663 e	643 e	653 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE044C1	483 e	508 e	501 e	519 	544 	526 e	519 e	496 e	492 e	472 e	473 e	446 e	451 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE045C1	: 	: 	: 	: 	: 	430 e	395 e	410 e	348 e	384 e	371 e	345 e	285 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE048C1	424 e	407 e	402 e	428 	407 	417 e	419 e	421 e	395 e	398 e	357 e	347 e	349 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE052C1	548 e	543 e	496 e	559 	550 	574 e	556 e	588 e	458 e	433 e	401 e	374 e	361 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE055C1	515 e	511 e	412 e	494 	534 	547 e	546 e	506 e	436 e	379 e	375 e	354 e	352 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
