CODE,NAME
FR086C2,Evreux
FR090C2,Châteauroux
FR093C2,Brive-la-Gaillarde
FR096C2,Albi
FR099C1,Fréjus
FR104C2,Châlons-en-Champagne
FR201C1,Aubagne
FR202C1,Aix-en-Provence
FR203C1,Marseille
FR205C2,Nice
FR206C1,CA de Sophia-Antipolis
FR207C1,Lens - Liévin
FR208C1,Hénin - Carvin
FR209C2,Douai
FR210C1,Marne la Vallée
FR211C1,Versailles
FR212C1,CC de la Boucle de la Seine
FR213C1,Sénart en Essonne
FR214C1,Valence
FR215C2,Rouen
FR216C1,CA Marne et Chantereine
FR217C1,CA des deux Rives de la Seine
FR218C1,CC des Coteaux de la Seine
FR219C1,CA Europ' Essonne
FR220C1,CA Brie Francilienne
FR221C1,CA les Portes de l'Essonne
FR222C1,CA Val et Forêt
FR223C1,CC de l'Ouest de la Plaine de France
FR224C1,CA le Parisis
FR304C1,Melun
FR305C1,Meaux
FR306C1,Mantes en Yvelines
FR308C1,Evry
FR309C1,CA du Plateau de Saclay
FR310C1,CA de Seine Essonne
FR311C1,CA du Val d'Orge
FR312C1,CA du Val d'Yerres
FR313C1,CA Sénart - Val de Seine
FR322C1,CA Val de France
FR323C1,CA de la Vallée de Montmorency
FR324C1,Martigues
FR501C1,Argenteuil - Bezons
FR504C1,Cergy-Pontoise
FR505C1,Charleville-Mézières
FR506C1,Colmar
FR512C1,CA des Lacs de l'Essonne
FR518C1,Saint-Quentin en Yvelines
FR519C1,Cannes
EL001C1,Athina
EL001K1,Athina
EL002C1,Thessaloniki
EL003C1,Pátra
EL004C1,Irakleio
EL005C1,Larisa
EL006C1,Volos
EL007C1,Ioannina
EL008C1,Kavala
EL009C1,Kalamata
EL010C1,Chania
EL011C1,Xanthi
EL012C1 ,Katerini
EL013C1 ,Serres
EL014C1 ,Trikala
HR001C1,Zagreb
HR002C1,Rijeka
HR003C1,Slavonski Brod
HR004C1,Osijek
HR005C1,Split
HR006C1,Pula - Pola
HR007C1,Zadar
HU001C1,Budapest
HU002C1,Miskolc
HU003C1,Nyíregyháza
HU004C1,Pécs
HU005C1,Debrecen
HU006C1,Szeged
HU007C1,Gyõr
HU008C1,Kecskemét
HU009C1,Székesfehérvár
HU010C1,Szombathely
HU011C1,Szolnok
HU012C1,Tatabánya
HU013C1,Veszprém
HU014C1,Békéscsaba
HU015C1,Kaposvár
HU016C1,Eger
HU017C1,Dunaújváros
HU018C1,Zalaegerszeg
HU019C1,Sopron
IE001C1,Dublin
IE001K1,Dublin
IE002C1,Cork
IE003C1,Limerick
IE004C1,Galway
IE005C1,Waterford
IS001C1,Reykjavík
IT001C1,Roma
IT002C1,Milano
IT002K1,Milano
IT003C1,Napoli
IT003K1,Napoli
IT004C1,Torino
IT005C1,Palermo
IT006C1,Genova
IT007C1,Firenze
IT008C1,Bari
IT009C1,Bologna
IT010C1,Catania
IT011C1,Venezia
IT012C1,Verona
IT013C1,Cremona
IT014C1,Trento
IT015C1,Trieste
IT016C1,Perugia
IT017C1,Ancona
IT019C1,Pescara
IT020C1,Campobasso
IT021C1,Caserta
IT022C1,Taranto
IT023C1,Potenza
IT024C1,Catanzaro
IT025C1,Reggio di Calabria
IT026C1,Sassari
IT027C1,Cagliari
IT028C1,Padova
IT029C1,Brescia
IT030C1,Modena
IT031C1,Foggia
IT032C1,Salerno
IT033C1,Piacenza
IT034C1,Bolzano
IT035C1,Udine
IT036C1,La Spezia
IT037C1,Lecce
IT038C1,Barletta
IT039C1,Pesaro
IT040C1,Como
IT041C1,Pisa
IT042C1,Treviso
IT043C1,Varese
IT044C1,Busto Arsizio
IT045C1,Asti
IT046C1,Pavia
IT047C1,Massa
IT048C1,Cosenza
IT052C1,Savona
IT054C1,Matera
IT056C1,Acireale
IT057C1,Avellino
IT058C1,Pordenone
IT060C1,Lecco
IT061C1,Altamura
IT062C1,Bitonto
IT063C1,Molfetta
IT064C1,Battipaglia
IT065C1,Bisceglie
IT066C1,Carpi
IT067C1,Cerignola
IT068C1,Gallarate
IT069C1,Gela
IT070C1,Saronno
IT071C1,Bagheria
IT072C1,Anzio
IT073C1,Sassuolo
IT501C1,Messina
IT502C1,Prato
IT503C1,Parma
IT504C1,Livorno
IT505C1,Reggio nell'Emilia
IT506C1,Ravenna
IT507C1,Ferrara
IT508C1,Rimini
IT509C1,Siracusa
IT510C1,Monza
IT511C1,Bergamo
IT512C1,Forlì
IT513C1,Latina
IT514C1,Vicenza
IT515C1,Terni
IT516C1,Novara
IT517C1,Giugliano in Campania
IT518C1,Alessandria
IT519C1,Arezzo
IT520C1,Grosseto
IT521C1,Brindisi
IT522C1,Trapani
IT523C1,Ragusa
IT524C1,Andria
IT525C1,Trani
IT526C1,L'Aquila
LT001C1,Vilnius
LT002C1,Kaunas
LT003C1,Panevėžys
