indic_ur,cities\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
DE2001I,CZ004C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	93 	93 	92 	92 	95 	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	98 	: 	: 	: 	: 	98 	: 
DE2001I,CZ005C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	94 	94 	94 	94 	96 	: 	: 	: 	: 	: 	98 	: 	: 	: 	: 	98 	: 	: 	: 	: 	97 	: 
DE2001I,CZ006C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	98 	96 	96 	96 	97 	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ007C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	94 	93 	93 	93 	94 	: 	: 	: 	: 	: 	98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ008C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	96 	96 	96 	96 	97 	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ009C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	96 	96 	95 	95 	96 	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ010C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	95 	95 	95 	95 	97 	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ011C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	97 	97 	97 	97 	98 	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ012C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	94 	93 	94 	94 	96 	: 	: 	: 	: 	: 	98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ013C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	85 	87 	87 	87 	92 	: 	: 	: 	: 	: 	98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ014C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	95 	96 	96 	96 	97 	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ015C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ016C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ017C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ018C2	: 	: 	: 	: 	: 	: 	: 	: 	: 	92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,DE	: 	: 	88 e	89 e	89 	91 	91 	92 	93 	91 	91 	91 	91 	91 	91 	91 	91 	: 	91 	91 	91 	91 	91 	91 	91 	91 	92 	: 	92 	93 	: 
DE2001I,DE001C1	: 	81 	82 e	83 e	84 	86 	87 	87 	90 	86 	86 	86 	86 	86 	86 	87 	87 	: 	: 	87 	87 	: 	: 	: 	87 	: 	: 	: 	89 	: 	: 
DE2001I,DE002C1	: 	84 	84 e	84 e	85 	86 	87 	87 	90 	86 	87 	87 	86 	86 	86 	86 	85 	: 	: 	85 	85 	: 	: 	: 	85 	: 	: 	: 	86 	: 	: 
DE2001I,DE003C1	: 	74 	74 e	74 e	75 	76 	77 	78 	77 	76 	77 	77 	77 	76 	76 	76 	76 	: 	: 	76 	77 	: 	: 	: 	75 	: 	: 	: 	77 	: 	: 
DE2001I,DE004C1	: 	81 	81 e	81 e	82 	82 	83 	83 	83 	84 	84 	84 	83 	83 	83 	83 	82 	: 	: 	81 	81 	: 	: 	: 	80 	: 	: 	: 	82 	: 	: 
DE2001I,DE005C1	: 	71 	71 e	72 e	72 	73 	74 	74 	80 	79 	79 	79 	79 	79 	78 	78 	78 	: 	: 	78 	76 	: 	: 	: 	74 	: 	: 	: 	72 	: 	: 
DE2001I,DE006C1	: 	84 	85 e	85 e	86 	88 	89 	90 	89 	88 	88 	88 	88 	88 	88 	88 	88 	: 	: 	89 	89 	: 	: 	: 	89 	: 	: 	: 	90 	: 	: 
DE2001I,DE007C1	: 	75 	75 e	76 e	76 	77 	78 	78 	80 	77 	77 	77 	77 	77 	76 	76 	76 	: 	: 	76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,DE008C1	: 	91 	91 e	92 e	93 	94 	95 	95 	98 	94 	94 	93 	94 	94 	94 	94 	94 	: 	: 	94 e	94 e	: 	: 	: 	96 e	: 	: 	: 	98 e	: 	: 
DE2001I,DE009C1	: 	92 	93 e	94 e	94 	95 	96 	96 	97 	95 	95 	95 	95 	95 	95 	95 	95 	: 	: 	96 e	96 e	: 	: 	: 	98 e	: 	: 	: 	98 e	: 	: 
DE2001I,DE010C1	: 	82 	83 e	84 e	84 	86 	87 	87 	85 	84 	84 	84 	84 	84 	84 	84 	84 	: 	: 	84 	84 	: 	: 	: 	85 	: 	: 	: 	88 	: 	: 
DE2001I,DE011C1	: 	80 	80 e	81 e	81 	82 	83 	83 	82 	82 	82 	82 	82 	82 	82 	82 	82 	: 	: 	82 	82 	: 	: 	: 	83 	: 	: 	: 	84 	: 	: 
DE2001I,DE012C1	: 	82 	83 e	83 e	85 	86 	87 	88 	88 	87 	87 	87 	87 	87 	87 	87 	87 	: 	: 	87 	88 	: 	: 	: 	86 	: 	: 	: 	89 	: 	: 
DE2001I,DE013C1	: 	82 	83 e	84 e	84 	85 	86 	86 	87 	86 	86 	85 	85 	85 	85 	85 	85 	: 	: 	85 	85 	: 	: 	: 	84 	: 	: 	: 	88 	: 	: 
DE2001I,DE014C1	: 	77 	78 e	79 e	80 	81 	82 	83 	86 	84 	84 	83 	83 	83 	82 	82 	82 	: 	: 	82 	82 	: 	: 	: 	83 	: 	: 	: 	85 	: 	: 
DE2001I,DE015C1	: 	87 	88 e	88 e	89 	91 	91 	91 	91 	89 	89 	89 	89 	89 	89 	89 	88 	: 	: 	88 	88 	: 	: 	: 	88 	: 	: 	: 	90 	: 	: 
DE2001I,DE017C1	: 	85 	86 e	86 e	87 	88 	88 	89 	89 	88 	88 	88 	88 	88 	88 	88 	87 	: 	: 	87 	87 	: 	: 	: 	87 	: 	: 	: 	88 	: 	: 
DE2001I,DE018C1	: 	91 	91 e	92 e	93 	95 	96 	96 	96 	96 	96 	96 	96 	96 	96 	96 	96 	: 	: 	96 	97 	: 	: 	: 	97 	: 	: 	: 	: 	: 	: 
DE2001I,DE019C1	: 	91 	91 e	92 e	94 	95 	96 	96 	96 	96 	97 	97 	97 	97 	97 	96 	96 	: 	: 	97 	97 	: 	: 	: 	97 	: 	: 	: 	: 	: 	: 
DE2001I,DE020C1	: 	81 	81 e	82 e	83 	83 	84 	84 	83 	81 	80 	80 	79 	79 	79 	80 	80 	: 	: 	80 	80 	: 	: 	: 	82 	: 	: 	: 	83 	: 	: 
DE2001I,DE021C1	: 	: 	: 	: 	: 	: 	90 	91 	91 	90 	90 	90 	90 	90 	90 	89 	89 	: 	: 	89 	89 	: 	: 	: 	89 	: 	: 	: 	90 	: 	: 
DE2001I,DE022C1	: 	85 	85 e	85 e	87 	88 	89 	89 	89 	90 	90 	90 	90 	90 	90 	90 	90 	: 	: 	91 	91 	: 	: 	: 	91 	: 	: 	: 	92 	: 	: 
DE2001I,DE023C1	: 	: 	87 e	: 	: 	: 	90 	90 	90 	91 	90 	90 	90 	90 	90 	90 	90 	: 	: 	90 	89 	: 	: 	: 	89 	: 	: 	: 	89 	: 	: 
DE2001I,DE025C1	: 	80 	81 e	81 e	82 	83 	84 	85 	85 	85 	85 	85 	85 	85 	84 	85 	85 	: 	: 	86 	86 	: 	: 	: 	85 	: 	: 	: 	86 	: 	: 
DE2001I,DE026C1	: 	86 	87 e	87 e	84 	90 	91 	92 	92 	92 	92 	92 	92 	91 	91 	91 	91 	: 	: 	92 	92 	: 	: 	: 	92 	: 	: 	: 	94 	: 	: 
DE2001I,DE027C1	: 	83 	83 e	83 e	84 	85 	86 	86 	92 	86 	86 	86 	86 	86 	86 	86 	86 	: 	: 	86 	86 	: 	: 	: 	87 	: 	: 	: 	88 	: 	: 
DE2001I,DE028C1	: 	83 	84 e	85 e	87 	88 	88 	89 	90 	89 	89 	89 	89 	89 	89 	89 	89 	: 	: 	89 	90 	: 	: 	: 	90 	: 	: 	: 	91 	: 	: 
DE2001I,DE029C1	: 	90 	90 e	91 e	93 	94 	95 	95 	96 	95 	95 	95 	95 	95 	95 	95 	94 	: 	: 	95 	96 	: 	: 	: 	97 	: 	: 	: 	98 	: 	: 
DE2001I,DE030C1	: 	91 	92 e	92 e	93 	94 	95 	95 	96 	96 	96 	96 	96 	97 	97 	97 	97 	: 	: 	97 	98 	: 	: 	: 	98 	: 	: 	: 	99 	: 	: 
DE2001I,DE031C1	: 	91 	91 e	92 e	91 	96 	96 	96 	96 	96 	96 	96 	96 	96 	96 	95 	96 	: 	: 	97 	97 	: 	: 	: 	98 	: 	: 	: 	99 	: 	: 
DE2001I,DE032C1	: 	92 	93 e	94 e	94 	96 	96 	96 	97 	97 	97 	97 	97 	97 	97 	97 	97 	: 	: 	97 	98 	: 	: 	: 	98 	: 	: 	: 	99 	: 	: 
DE2001I,DE033C1	: 	78 	79 e	80 e	81 	82 	83 	83 	82 	83 	83 	83 	83 	83 	82 	82 	82 	: 	: 	82 	82 	: 	: 	: 	82 	: 	: 	: 	84 	: 	: 
DE2001I,DE034C1	: 	83 	84 e	85 e	85 	87 	87 	88 	91 	85 	85 	84 	84 	84 	84 	83 	83 	: 	: 	83 	83 	: 	: 	: 	83 	: 	: 	: 	86 	: 	: 
DE2001I,DE035C1	: 	81 	81 e	82 e	82 	84 	84 	85 	86 	85 	85 	85 	85 	85 	85 	85 	85 	: 	: 	85 	85 	: 	: 	: 	87 	: 	: 	: 	88 	: 	: 
DE2001I,DE036C1	: 	84 	85 e	86 e	87 	88 	89 	90 	90 	89 	89 	89 	89 	89 	89 	89 	89 	: 	: 	89 	89 	: 	: 	: 	89 	: 	: 	: 	90 	: 	: 
DE2001I,DE037C1	: 	82 	82 e	82 e	83 	84 	85 	85 	83 	83 	83 	83 	82 	82 	82 	81 	81 	: 	: 	81 	82 	: 	: 	: 	81 	: 	: 	: 	84 	: 	: 
DE2001I,DE039C1	: 	88 	89 e	89 e	90 	91 	92 	92 	93 	91 	91 	91 	91 	91 	91 	91 	90 	: 	: 	90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,DE040C1	: 	82 	83 e	84 e	85 	87 	87 	87 	86 	86 	87 	88 	89 	89 	89 	88 	88 	: 	: 	86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,DE041C1	: 	92 	92 e	93 e	94 	95 	95 	96 	96 	95 	95 	95 	95 	94 	94 	95 	94 	: 	: 	96 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
